id,institution,location,courses_offered
1,IIT Madras,Chennai,"AI/ML, Data Science, Engineering"
2,NID Ahmedabad,Ahmedabad,"Design, UX, Product Design"
3,IIT Bombay,Mumbai,"Computer Science, Electrical, Mechanical"
4,IIT Delhi,New Delhi,"AI, Robotics, Civil Engineering"
5,IIT Kanpur,Kanpur,"Aerospace, Electronics, Data Science"
6,IIT Kharagpur,Kharagpur,"Metallurgy, Ocean Engineering, CS"
7,IIT Roorkee,Roorkee,"Civil, Mechanical, Electrical"
8,IIT Guwahati,Guwahati,"Design, Computer Science, Biotechnology"
9,IIT Hyderabad,Hyderabad,"AI/ML, Robotics, Computer Science"
10,IISc Bangalore,Bangalore,"Research, Data Science, Physics"
11,NIT Trichy,Tiruchirappalli,"Mechanical, Civil, Computer Science"
12,NIT Surathkal,Mangalore,"Electronics, Metallurgy, Mining"
13,NIT Warangal,Warangal,"Chemical, Computer Science, Data Analytics"
14,NIT Rourkela,Rourkela,"Metallurgical, Chemical, Electrical"
15,NIT Calicut,Calicut,"Electronics, Data Science, Civil"
16,IIIT Hyderabad,Hyderabad,"Computer Science, AI, Blockchain"
17,IIIT Bangalore,Bangalore,"AI/ML, Cybersecurity, Cloud Computing"
18,IIIT Delhi,New Delhi,"Data Analytics, AI, Design"
19,IIM Ahmedabad,Ahmedabad,"MBA, Business Analytics, Finance"
20,IIM Bangalore,Bangalore,"MBA, Marketing, HR Management"
21,IIM Calcutta,Kolkata,"Finance, Business Analytics, Strategy"
22,IIM Lucknow,Lucknow,"Operations, HR, International Business"
23,IIM Kozhikode,Kozhikode,"Business Analytics, Marketing, Finance"
24,Delhi University,New Delhi,"Arts, Commerce, Economics"
25,Jawaharlal Nehru University,New Delhi,"Political Science, International Studies, Economics"
26,Banaras Hindu University,Varanasi,"Engineering, Medical, Humanities"
27,Aligarh Muslim University,Aligarh,"Law, Social Sciences, Engineering"
28,Jadavpur University,Kolkata,"Engineering, Arts, Science"
29,University of Hyderabad,Hyderabad,"Computer Science, Physics, Chemistry"
30,Osmania University,Hyderabad,"Commerce, Arts, Law"
31,Anna University,Chennai,"Mechanical, Civil, Electronics"
32,University of Mumbai,Mumbai,"Commerce, Management, Arts"
33,University of Calcutta,Kolkata,"Law, Commerce, Literature"
34,University of Madras,Chennai,"History, Philosophy, Commerce"
35,Punjab University,Chandigarh,"Arts, Science, Law"
36,Jamia Millia Islamia,New Delhi,"Mass Communication, Law, Engineering"
37,SRM University,Chennai,"Engineering, Medicine, Management"
38,VIT Vellore,Vellore,"Computer Science, Electronics, AI"
39,Amity University,Noida,"Law, Business, Engineering"
40,Christ University,Bangalore,"Commerce, Arts, Business Administration"
41,Lovely Professional University,Jalandhar,"Design, Engineering, Business"
42,BITS Pilani,Pilani,"Computer Science, Electronics, Mechanical"
43,BITS Goa,Goa,"AI, Robotics, Electronics"
44,BITS Hyderabad,Hyderabad,"Pharmacy, Data Science, Engineering"
45,Shiv Nadar University,Noida,"Liberal Arts, Business, Data Science"
46,OP Jindal Global University,Sonipat,"Law, Business, International Relations"
47,Ashoka University,Sonipat,"Economics, Liberal Arts, Political Science"
48,KREA University,Sricity,"Business, Liberal Arts, Economics"
49,Azim Premji University,Bangalore,"Education, Social Sciences, Development Studies"
50,TISS Mumbai,Mumbai,"Social Work, HRM, Public Policy"
51,ISB Hyderabad,Hyderabad,"Business Analytics, Finance, MBA"
52,ISB Mohali,Mohali,"Strategy, Finance, Marketing"
53,Indian Statistical Institute,Kolkata,"Statistics, Mathematics, Data Science"
54,Indian Statistical Institute,Delhi,"Statistics, Computer Science, AI"
55,National Law School,Bangalore,"Law, International Relations, Governance"
56,NALSAR University,Hyderabad,"Law, Arbitration, Public Policy"
57,NLU Delhi,Delhi,"Law, Human Rights, Cyber Law"
58,NLU Jodhpur,Jodhpur,"Corporate Law, Taxation, Arbitration"
59,Symbiosis Law School,Pune,"Law, Business Law, Cybersecurity"
60,Symbiosis International University,Pune,"Business, Media, IT"
61,Manipal Academy of Higher Education,Manipal,"Medical, Engineering, Business"
62,St. Xavier's College,Mumbai,"Commerce, Arts, Science"
63,Lady Shri Ram College,Delhi,"Economics, Political Science, Literature"
64,Hindu College,Delhi,"Science, Economics, History"
65,Miranda House,Delhi,"Science, Arts, Commerce"
66,Loyola College,Chennai,"Commerce, Business Administration, Science"
67,MCC Chennai,Chennai,"English, History, Commerce"
68,Presidency University,Kolkata,"Political Science, Economics, Literature"
69,Fergusson College,Pune,"Science, Arts, Computer Science"
70,St. Joseph's College,Bangalore,"Commerce, Arts, Science"
71,Mount Carmel College,Bangalore,"Science, Arts, Business"
72,Jain University,Bangalore,"Engineering, Business, Arts"
73,Kalinga Institute of Industrial Technology,Bhubaneswar,"Engineering, Business, Medicine"
74,SOA University,Bhubaneswar,"Engineering, Medicine, Law"
