id,personality_type,traits,suggested_careers
1,INTJ,"Strategic, independent, logical","Data Scientist, Engineer"
2,ENFP,"Creative, social, adaptive","Marketing, UX Designer"
3,ISTJ,"Organized, dependable, practical","Accountant, Project Manager"
4,ENTP,"Innovative, curious, persuasive","Entrepreneur, Consultant"
5,INFJ,"Empathetic, insightful, visionary","Counselor, Writer"
6,ESTP,"Energetic, action-oriented, adaptable","Sales Executive, Emergency Responder"
7,ISFJ,"Loyal, caring, responsible","Nurse, Teacher"
8,ENTJ,"Decisive, confident, efficient","CEO, Business Strategist"
9,INFP,"Idealistic, sensitive, imaginative","Author, Therapist"
10,ESTJ,"Organized, assertive, traditional","Military Officer, Operations Manager"
11,ISTP,"Analytical, hands-on, adventurous","Mechanic, Pilot"
12,ESFP,"Spontaneous, outgoing, fun-loving","Performer, Event Planner"
13,ENFJ,"Charismatic, inspiring, supportive","HR Manager, Coach"
14,ISFP,"Artistic, gentle, flexible","Designer, Musician"
15,INTP,"Logical, abstract thinker, curious","Researcher, Software Developer"
16,INTJ,"Strategic, analytical, goal-oriented","Software Architect, Data Analyst"
17,ENFP,"Curious, outgoing, spontaneous","Creative Director, Public Relations Specialist"
18,ISTJ,"Thorough, methodical, disciplined","Auditor, Compliance Officer"
19,ENTP,"Quick-witted, adaptable, resourceful","Startup Founder, Policy Advisor"
20,INFJ,"Compassionate, determined, deep-thinking","Psychologist, Novelist"
21,ESTP,"Adventurous, bold, energetic","Travel Guide, Emergency Worker"
22,ISFJ,"Dependable, nurturing, detail-oriented","Healthcare Worker, Librarian"
23,ENTJ,"Goal-driven, organized, visionary","Corporate Leader, Political Strategist"
24,INFP,"Compassionate, reflective, creative","Poet, Social Worker"
25,ESTJ,"Traditional, structured, reliable","Operations Manager, Banker"
26,ISTP,"Independent, logical, resourceful","Engineer, Technician"
27,ESFP,"Charming, spontaneous, lively","Actor, Event Host"
28,ENFJ,"Supportive, persuasive, inspiring","Educator, Life Coach"
29,ISFP,"Kind, artistic, empathetic","Photographer, Interior Designer"
30,INTP,"Innovative, analytical, thoughtful","Scientist, Systems Analyst"
31,INTJ,"Focused, determined, ambitious","Data Engineer, Strategist"
32,ENFP,"Optimistic, empathetic, inspiring","Media Planner, Campaign Manager"
33,ISTJ,"Efficient, systematic, serious","Government Officer, Quality Analyst"
34,ENTP,"Visionary, daring, witty","Business Developer, Politician"
35,INFJ,"Reflective, principled, compassionate","Nonprofit Leader, Writer"
36,ESTP,"Practical, confident, adaptable","Paramedic, Adventure Guide"
37,ISFJ,"Helpful, patient, organized","Caregiver, Customer Support"
38,ENTJ,"Assertive, goal-oriented, decisive","Business Executive, Lawyer"
39,INFP,"Gentle, value-driven, creative","Editor, Humanitarian Worker"
40,ESTJ,"Leadership-focused, reliable, firm","School Principal, Police Officer"
41,ISTP,"Hands-on, curious, adaptable","Engineer, Pilot"
42,ESFP,"Outgoing, expressive, lively","Performer, Marketing Specialist"
43,ENFJ,"Organized, encouraging, passionate","Teacher, Leadership Coach"
44,ISFP,"Gentle, adaptable, expressive","Artist, Dancer"
45,INTP,"Rational, innovative, detached","Academic, Data Scientist"
46,INTJ,"Innovative, independent, determined","Systems Architect, Economist"
47,ENFP,"Creative, energetic, friendly","Brand Strategist, Travel Blogger"
48,ISTJ,"Detail-oriented, honest, disciplined","Lawyer, Civil Servant"
49,ENTP,"Flexible, energetic, humorous","Journalist, Inventor"
50,INFJ,"Intuitive, insightful, deep-thinking","Therapist, Author"
51,ESTP,"Realistic, adventurous, active","Sports Coach, Firefighter"
52,ISFJ,"Reliable, humble, supportive","Primary Teacher, Community Worker"
53,ENTJ,"Bold, efficient, strong-willed","Corporate Strategist, Manager"
54,INFP,"Dreamer, caring, intuitive","Content Writer, Volunteer Coordinator"
55,ESTJ,"Assertive, consistent, practical","Business Administrator, Judge"
56,ISTP,"Curious, adaptable, resourceful","Software Tester, Engineer"
57,ESFP,"Playful, lively, creative","Musician, Tour Guide"
58,ENFJ,"Supportive, confident, articulate","School Counselor, Facilitator"
59,ISFP,"Warm, humble, sensitive","Fashion Designer, Painter"
60,INTP,"Inventive, critical thinker, open-minded","Mathematician, AI Researcher"
61,INTJ,"Focused, resilient, logical","Economist, Systems Analyst"
62,ENFP,"Friendly, vibrant, imaginative","Journalist, Travel Influencer"
63,ISTJ,"Practical, conservative, structured","Bank Officer, Insurance Specialist"
64,ENTP,"Energetic, humorous, persuasive","Startup Founder, Media Host"
65,INFJ,"Insightful, idealistic, selfless","Psychotherapist, Author"
66,ESTP,"Action-driven, lively, confident","Paramedic, Pilot"
67,ISFJ,"Dedicated, careful, protective","Healthcare Assistant, Caregiver"
68,ENTJ,"Driven, visionary, effective","Business Director, Political Leader"
69,INFP,"Idealistic, compassionate, artistic","Writer, Community Advocate"
70,ESTJ,"Disciplined, honest, methodical","Project Leader, Banker"
71,ISTP,"Practical, inventive, observant","Technician, Mechanic"
72,ESFP,"Cheerful, outgoing, engaging","Entertainer, Presenter"
73,ENFJ,"Encouraging, confident, selfless","Motivational Speaker, Educator"
74,ISFP,"Artistic, gentle, reflective","Graphic Designer, Musician"
75,INTP,"Abstract thinker, reserved, analytical","Scientist, Philosopher"
76,INTJ,"Goal-oriented, visionary, critical","Data Scientist, Policy Analyst"
77,ENFP,"Adventurous, communicative, empathetic","Public Relations, Journalist"
78,ISTJ,"Systematic, loyal, precise","Auditor, Inspector"
79,ENTP,"Innovative, enthusiastic, clever","Consultant, Startup Founder"
80,INFJ,"Compassionate, intuitive, spiritual","Writer, Nonprofit Director"
81,ESTP,"Bold, fast-paced, resilient","Emergency Technician, Athlete"
82,ISFJ,"Gentle, supportive, organized","Teacher, Librarian"
83,ENTJ,"Ambitious, confident, strong-willed","CEO, Executive"
84,INFP,"Gentle, selfless, artistic","Counselor, Novelist"
85,ESTJ,"Logical, orderly, dedicated","Judge, Banker"
86,ISTP,"Independent, adventurous, practical","Engineer, Pilot"
87,ESFP,"Charming, outgoing, sociable","Performer, Host"
88,ENFJ,"Compassionate, energetic, encouraging","Teacher, HR Manager"
89,ISFP,"Artistic, empathetic, easygoing","Designer, Artist"
90,INTP,"Analytical, deep-thinker, open-minded","Researcher, Data Analyst"
91,INTJ,"Logical, decisive, strategic","Software Architect, Economist"
92,ENFP,"Charismatic, lively, idealistic","Media Specialist, Travel Blogger"
93,ISTJ,"Practical, precise, reliable","Accountant, Auditor"
94,ENTP,"Visionary, quick, witty","Entrepreneur, Journalist"
95,INFJ,"Empathetic, reflective, thoughtful","Therapist, Writer"
